Date,Day of the Week,Time of the Day,Location,Reason
4/1/2023,Saturday,Morning,Backyard,Personal Habit
4/1/2023,Saturday,Morning,Garden,Daily Morning Visit
4/1/2023,Saturday,Morning,Home,Breakfast
4/1/2023,Saturday,Morning,Home,Medicine
4/1/2023,Saturday,Morning,,
4/1/2023,Saturday,Morning,Brother's House,Brother is ill
4/1/2023,Saturday,Morning,Brother's House,Ask about health and well-being
4/1/2023,Saturday,Morning,Brother's House,Casual Visit
4/1/2023,Saturday,Afternoon,Brother's House,Brother is ill
4/1/2023,Saturday,Afternoon,Brother's House,Ask about health and well-being
4/1/2023,Saturday,Afternoon,Brother's House,Casual Visit
4/1/2023,Saturday,Afternoon,Home,Daily Chores
4/1/2023,Saturday,Afternoon,Home,Normal routine
4/1/2023,Saturday,Afternoon,Home,Lunch
4/1/2023,Saturday,Afternoon,Home,Medicine
4/1/2023,Saturday,Afternoon,Home,Daily Chores
4/1/2023,Saturday,Afternoon,,
4/1/2023,Saturday,Afternoon,Vegetables Shop,Buy Vegetables
4/1/2023,Saturday,Evening,Garden,Fertilizing
4/1/2023,Saturday,Evening,Grandson's Private Tuition Class 2,Pickup Grandson
4/1/2023,Saturday,Evening,Home,Sleep
4/1/2023,Saturday,Evening,Backyard,Personal Habit
4/1/2023,Saturday,Evening,Home,Daily Chores
4/1/2023,Saturday,Evening,Garden,Inspection
4/1/2023,Saturday,Evening,Home,Normal routine
4/1/2023,Saturday,Evening,Garden,Daily Evening Visit
4/1/2023,Saturday,Evening,Temple,Religious Rites
4/1/2023,Saturday,Evening,Temple ,Bodhi Pooja
4/1/2023,Saturday,Night,Temple ,Bodhi Pooja
4/1/2023,Saturday,Night,Home,Normal routine
4/1/2023,Saturday,Night,,
4/1/2023,Saturday,Night,,
4/1/2023,Saturday,Night,Home,Dinner
4/1/2023,Saturday,Night,Home,Medicine
4/1/2023,Saturday,Night,Home,Daily Chores
4/1/2023,Saturday,Night,Home,Sleep
4/2/2023,Sunday,Morning,Home,Normal routine
4/2/2023,Sunday,Morning,Home ,Daily Chores
4/2/2023,Sunday,Morning,Backyard,Personal Habit
4/2/2023,Sunday,Morning,Garden,Daily Morning Visit
4/2/2023,Sunday,Morning,Home,Breakfast
4/2/2023,Sunday,Morning,Home,Medicine
4/2/2023,Sunday,Morning,Public Bus Stop,Waiting for a bus
4/2/2023,Sunday,Morning,Matara Weekly Fair,Buy Vegetables
4/2/2023,Sunday,Morning,Matara Weekly Fair,Buy Spices
4/2/2023,Sunday,Morning,Matara Fish Market,Buy Fish
4/2/2023,Sunday,Afternoon,Grocery Store,Buy essentials
4/2/2023,Sunday,Afternoon,Grocery Store,Buy News Paper
4/2/2023,Sunday,Afternoon,Matara Public Bus Stand,Waiting for a bus
4/2/2023,Sunday,Afternoon,Matara Public Bus Stand,Waiting till bus to start the journey
4/2/2023,Sunday,Afternoon,Home,Daily Chores
4/2/2023,Sunday,Afternoon,Home,Normal routine
4/2/2023,Sunday,Afternoon,Home,Lunch
4/2/2023,Sunday,Afternoon,Home,Medicine
4/2/2023,Sunday,Afternoon,Home,Daily Chores
4/2/2023,Sunday,Afternoon,Keells Supermarket - Matara,Buy essentials
4/2/2023,Sunday,Evening,Keells Supermarket - Matara,Buy essentials
4/2/2023,Sunday,Evening,Garden,Inspection
4/2/2023,Sunday,Evening,Garden,Fertilizing
4/2/2023,Sunday,Evening,Home,Sleep
4/2/2023,Sunday,Evening,Backyard,Personal Habit
4/2/2023,Sunday,Evening,Home,Daily Chores
4/2/2023,Sunday,Evening,Home,Normal routine
4/2/2023,Sunday,Evening,Paddy Fields,Walking
4/2/2023,Sunday,Evening,Paddy Fields,Relaxation
4/2/2023,Sunday,Evening,Elderly Society,Weekly Assembly
4/2/2023,Sunday,Night,Elderly Society,Weekly Assembly
4/2/2023,Sunday,Night,Garden,Daily Evening Visit
4/2/2023,Sunday,Night,Home,Normal routine
4/2/2023,Sunday,Night,,
4/2/2023,Sunday,Night,Home,Dinner
4/2/2023,Sunday,Night,Home,Medicine
4/2/2023,Sunday,Night,Home,Daily Chores
4/2/2023,Sunday,Night,Home,Sleep
4/3/2023,Monday,Morning,Home,Normal routine
4/3/2023,Monday,Morning,Home ,Daily Chores
4/3/2023,Monday,Morning,Backyard,Personal Habit
4/3/2023,Monday,Morning,Garden,Daily Morning Visit
4/3/2023,Monday,Morning,Home,Breakfast
4/3/2023,Monday,Morning,Home,Medicine
4/3/2023,Monday,Morning,Public Bus Stop,Waiting for a bus
4/3/2023,Monday,Morning,Kaburugamuwa Hospital,Monthly Dimentia Clinic
4/3/2023,Monday,Morning,Kaburugamuwa Hospital,Visit Doctor
4/3/2023,Monday,Morning,Matara Public Bus Stand,Waiting for a bus
4/3/2023,Monday,Afternoon,Matara Public Bus Stand,Waiting for a bus
4/3/2023,Monday,Afternoon,Matara Public Bus Stand,Waiting till bus to start the journey
4/3/2023,Monday,Afternoon,Pharmacy 1,Buy Medicine
4/3/2023,Monday,Afternoon,Home,Normal routine
4/3/2023,Monday,Afternoon,Home,Lunch
4/3/2023,Monday,Afternoon,Home,Medicine
4/3/2023,Monday,Afternoon,Home,Daily Chores
4/3/2023,Monday,Afternoon,Bank of Ceylon - Matara,Cash Withdrawal
4/3/2023,Monday,Afternoon,Bank of Ceylon - Matara,Cash Withdrawal
4/3/2023,Monday,Evening,Bakery,Buy Bakery Items
4/3/2023,Monday,Evening,Garden,Inspection
4/3/2023,Monday,Evening,Garden,Fertilizing
4/3/2023,Monday,Evening,Home,Sleep
4/3/2023,Monday,Evening,Backyard,Personal Habit
4/3/2023,Monday,Evening,Home,Daily Chores
4/3/2023,Monday,Evening,Home,Normal routine
4/3/2023,Monday,Evening,Paddy Fields,Walking
4/3/2023,Monday,Evening,Paddy Fields,Relaxation
4/3/2023,Monday,Night,Home,Normal routine
4/3/2023,Monday,Night,Garden,Daily Evening Visit
4/3/2023,Monday,Night,,
4/3/2023,Monday,Night,,
4/3/2023,Monday,Night,Home,Dinner
4/3/2023,Monday,Night,Home,Medicine
4/3/2023,Monday,Night,Home,Daily Chores
4/3/2023,Monday,Night,Home,Sleep
4/4/2023,Tuesday,Morning,Home,Normal routine
4/4/2023,Tuesday,Morning,Home ,Daily Chores
4/4/2023,Tuesday,Morning,Backyard,Personal Habit
4/4/2023,Tuesday,Morning,Garden,Daily Morning Visit
4/4/2023,Tuesday,Morning,Home,Breakfast
4/4/2023,Tuesday,Morning,Home,Medicine
4/4/2023,Tuesday,Afternoon,Home,Daily Chores
4/4/2023,Tuesday,Afternoon,Home,Normal routine
4/4/2023,Tuesday,Afternoon,Home,Lunch
4/4/2023,Tuesday,Afternoon,Home,Medicine
4/4/2023,Tuesday,Afternoon,Home,Daily Chores
4/4/2023,Tuesday,Afternoon,Home,Visit from brother
4/4/2023,Tuesday,Evening,Home,Visit from brother
4/4/2023,Tuesday,Evening,Garden,Inspection
4/4/2023,Tuesday,Evening,Garden,Fertilizing
4/4/2023,Tuesday,Evening,Home,Sleep
4/4/2023,Tuesday,Evening,Backyard,Personal Habit
4/4/2023,Tuesday,Evening,Home,Daily Chores
4/4/2023,Tuesday,Evening,Home,Normal routine
4/4/2023,Tuesday,Evening,Paddy Fields,Relaxation
4/4/2023,Tuesday,Evening,Garden,Daily Evening Visit
4/4/2023,Tuesday,Evening,Temple,Religious Rites
4/4/2023,Tuesday,Evening,Temple ,Bodhi Pooja
4/4/2023,Tuesday,Night,Temple ,Bodhi Pooja
4/4/2023,Tuesday,Night,Temple,Religious Rites
4/4/2023,Tuesday,Night,Home,Normal routine
4/4/2023,Tuesday,Night,,
4/4/2023,Tuesday,Night,Home,Dinner
4/4/2023,Tuesday,Night,Home,Medicine
4/4/2023,Tuesday,Night,Home,Daily Chores
4/4/2023,Tuesday,Night,Home,Sleep
4/5/2023,Wednesday,Morning,Home,Normal routine
4/5/2023,Wednesday,Morning,Home ,Daily Chores
4/5/2023,Wednesday,Morning,Backyard,Personal Habit
4/5/2023,Wednesday,Morning,Garden,Daily Morning Visit
4/5/2023,Wednesday,Morning,Home,Breakfast
4/5/2023,Wednesday,Morning,Home,Medicine
4/5/2023,Wednesday,Morning,Home,Visit from Elder Daughter
4/5/2023,Wednesday,Morning,Matara General Hospital,Weekly Diabetes Clinic
4/5/2023,Wednesday,Morning,Matara General Hospital,Weekly Diabetes Tests
4/5/2023,Wednesday,Morning,Matara Public Bus Stand,Waiting for a bus
4/5/2023,Wednesday,Afternoon,Matara Public Bus Stand,Waiting till bus to start the journey
4/5/2023,Wednesday,Afternoon,Vegetables Shop,Buy Vegetables
4/5/2023,Wednesday,Afternoon,Home,Daily Chores
4/5/2023,Wednesday,Afternoon,Home,Normal routine
4/5/2023,Wednesday,Afternoon,Home,Lunch
4/5/2023,Wednesday,Afternoon,Home,Medicine
4/5/2023,Wednesday,Afternoon,Home,Daily Chores
4/5/2023,Wednesday,Afternoon,Home,Watch Television
4/5/2023,Wednesday,Afternoon,Rahula College - Matara,Pickup Grandson
4/5/2023,Wednesday,Afternoon,Public Bus Stop,Waiting for a bus
4/5/2023,Wednesday,Evening,Garden,Inspection
4/5/2023,Wednesday,Evening,Garden,Fertilizing
4/5/2023,Wednesday,Evening,Temple,Religious Rites
4/5/2023,Wednesday,Evening,Temple,Bodhi Pooja
4/5/2023,Wednesday,Evening,Home,Sleep
4/5/2023,Wednesday,Evening,Backyard,Personal Habit
4/5/2023,Wednesday,Evening,Home,Daily Chores
4/5/2023,Wednesday,Evening,Home,Normal routine
4/5/2023,Wednesday,Evening,Paddy Fields,Relaxation
4/5/2023,Wednesday,Evening,Garden,Daily Evening Visit
4/5/2023,Wednesday,Night,Home,Normal routine
4/5/2023,Wednesday,Night,,
4/5/2023,Wednesday,Night,Nearby Restaurant,Buy Food
4/5/2023,Wednesday,Night,Home,Dinner
4/5/2023,Wednesday,Night,Home,Medicine
4/5/2023,Wednesday,Night,Home,Daily Chores
4/5/2023,Wednesday,Night,Home,Sleep
4/6/2023,Thursday,Morning,Home,Normal routine
4/6/2023,Thursday,Morning,Home ,Daily Chores
4/6/2023,Thursday,Morning,Backyard,Personal Habit
4/6/2023,Thursday,Morning,Garden,Daily Morning Visit
4/6/2023,Thursday,Morning,Home,Breakfast
4/6/2023,Thursday,Morning,Home,Medicine
4/6/2023,Thursday,Morning,Pharmacy 2,Buy Medicine
4/6/2023,Thursday,Morning,Fish Shop,Buy Fish to Cook
4/6/2023,Thursday,Morning,Meat Shop,Buy Meat to Cook
4/6/2023,Thursday,Afternoon,,
4/6/2023,Thursday,Afternoon,Home,Daily Chores
4/6/2023,Thursday,Afternoon,Home,Normal routine
4/6/2023,Thursday,Afternoon,Home,Lunch
4/6/2023,Thursday,Afternoon,Home,Medicine
4/6/2023,Thursday,Afternoon,Home,Daily Chores
4/6/2023,Thursday,Afternoon,,
4/6/2023,Thursday,Evening,Paddy Fields,Walking
4/6/2023,Thursday,Evening,Paddy Fields,Relaxation
4/6/2023,Thursday,Evening,Garden,Inspection
4/6/2023,Thursday,Evening,Garden,Fertilizing
4/6/2023,Thursday,Evening,Home,Sleep
4/6/2023,Thursday,Evening,Backyard,Personal Habit
4/6/2023,Thursday,Evening,Home,Daily Chores
4/6/2023,Thursday,Evening,Home,Normal routine
4/6/2023,Thursday,Evening,Home,Normal routine
4/6/2023,Thursday,Evening,Garden,Daily Evening Visit
4/6/2023,Thursday,Night,,
4/6/2023,Thursday,Night,Bakery,Buy Bakery Items
4/6/2023,Thursday,Night,Home,Dinner
4/6/2023,Thursday,Night,Home,Medicine
4/6/2023,Thursday,Night,Home,Daily Chores
4/6/2023,Thursday,Night,Home,Sleep
4/7/2023,Friday,Morning,Home,Normal routine
4/7/2023,Friday,Morning,Home ,Daily Chores
4/7/2023,Friday,Morning,Backyard,Personal Habit
4/7/2023,Friday,Morning,Garden,Daily Morning Visit
4/7/2023,Friday,Morning,Home,Breakfast
4/7/2023,Friday,Morning,Home,Medicine
4/7/2023,Friday,Morning,Bakery,Buy Bakery Items
4/7/2023,Friday,Morning,Home,Visit from a friend
4/7/2023,Friday,Morning,Elder Daughter's House,Casual Visit
4/7/2023,Friday,Morning,Elder Daughter's House,Casual Visit
4/7/2023,Friday,Afternoon,Home,Visit from a friend
4/7/2023,Friday,Afternoon,Home,Daily Chores
4/7/2023,Friday,Afternoon,Home,Normal routine
4/7/2023,Friday,Afternoon,Home,Lunch
4/7/2023,Friday,Afternoon,Home,Medicine
4/7/2023,Friday,Afternoon,Home,Daily Chores
4/7/2023,Friday,Afternoon,Public Bus Stop,Waiting for a bus
4/7/2023,Friday,Afternoon,Rahula College - Matara,Pickup Grandson
4/7/2023,Friday,Afternoon,Home,Visit from son
4/7/2023,Friday,Afternoon,Home,Visit from son
4/7/2023,Friday,Evening,Home,Visit from son
4/7/2023,Friday,Evening,Grandson's Private Tuition Class 1,Pickup Grandson
4/7/2023,Friday,Evening,Matara Beach,Relaxation
4/7/2023,Friday,Evening,Matara Beach,Relaxation
4/7/2023,Friday,Evening,Home,Sleep
4/7/2023,Friday,Evening,Backyard,Personal Habit
4/7/2023,Friday,Evening,Home,Daily Chores
4/7/2023,Friday,Evening,Home,Normal routine
4/7/2023,Friday,Evening,Paddy Fields,Relaxation
4/7/2023,Friday,Evening,Garden,Daily Evening Visit
4/7/2023,Friday,Night,Garden,Fertilizing
4/7/2023,Friday,Night,Garden,Inspection
4/7/2023,Friday,Night,Home,Normal routine
4/7/2023,Friday,Night,,
4/7/2023,Friday,Night,Home,Dinner
4/7/2023,Friday,Night,Home,Medicine
4/7/2023,Friday,Night,Home,Daily Chores
4/7/2023,Friday,Night,Home,Sleep
4/8/2023,Saturday,Morning,Home,Normal routine
4/8/2023,Saturday,Morning,Home ,Daily Chores
4/8/2023,Saturday,Morning,Backyard,Personal Habit
4/8/2023,Saturday,Morning,Garden,Daily Morning Visit
4/8/2023,Saturday,Morning,Home,Breakfast
4/8/2023,Saturday,Morning,Home,Medicine
4/8/2023,Saturday,Morning,Matara Town ,Clothes Shopping
4/8/2023,Saturday,Morning,Matara Town ,Aluth Aurudu Shopping
4/8/2023,Saturday,Morning,Matara Town ,Buy Essentials
4/8/2023,Saturday,Morning,Matara Town ,Buy Essentials
4/8/2023,Saturday,Afternoon,Matara Town ,Aluth Aurudu Shopping
4/8/2023,Saturday,Afternoon,Matara Town ,Clothes Shopping
4/8/2023,Saturday,Afternoon,Home,Daily Chores
4/8/2023,Saturday,Afternoon,Home,Normal routine
4/8/2023,Saturday,Afternoon,Home,Lunch
4/8/2023,Saturday,Afternoon,Home,Medicine
4/8/2023,Saturday,Afternoon,Home,Daily Chores
4/8/2023,Saturday,Afternoon,Home,Visit from A Neighbour
4/8/2023,Saturday,Afternoon,Home,Visit from A Neighbour
4/8/2023,Saturday,Afternoon,Garden,Fertilizing
4/8/2023,Saturday,Evening,Garden,Fertilizing
4/8/2023,Saturday,Evening,Garden,Inspection
4/8/2023,Saturday,Evening,Grandson's Private Tuition Class 2,Pickup Grandson
4/8/2023,Saturday,Evening,Home,Sleep
4/8/2023,Saturday,Evening,Backyard,Personal Habit
4/8/2023,Saturday,Evening,Home,Daily Chores
4/8/2023,Saturday,Evening,Paddy Fields,Relaxation
4/8/2023,Saturday,Evening,Garden,Daily Evening Visit
4/8/2023,Saturday,Evening,Temple,Religious Rites
4/8/2023,Saturday,Evening,Temple ,Bodhi Pooja
4/8/2023,Saturday,Night,Temple ,Bodhi Pooja
4/8/2023,Saturday,Night,Temple,Religious Rites
4/8/2023,Saturday,Night,,
4/8/2023,Saturday,Night,Bakery,Buy Bakery Items
4/8/2023,Saturday,Night,Home,Normal routine
4/8/2023,Saturday,Night,,
4/8/2023,Saturday,Night,Home,Dinner
4/8/2023,Saturday,Night,Home,Medicine
4/8/2023,Saturday,Night,Home,Daily Chores
4/8/2023,Saturday,Night,Home,Sleep
4/9/2023,Sunday,Morning,Home,Normal routine
4/9/2023,Sunday,Morning,Home ,Daily Chores
4/9/2023,Sunday,Morning,Backyard,Personal Habit
4/9/2023,Sunday,Morning,Garden,Daily Morning Visit
4/9/2023,Sunday,Morning,Home,Breakfast
4/9/2023,Sunday,Morning,Home,Medicine
4/9/2023,Sunday,Morning,Grocery Store,Buy News Paper
4/9/2023,Sunday,Morning,Sunday School,Pick up Grand Son
4/9/2023,Sunday,Afternoon,Sunday School,Pick up Grand Son
4/9/2023,Sunday,Afternoon,Nearby Restaurant,Buy Food
4/9/2023,Sunday,Afternoon,Home,Daily Chores
4/9/2023,Sunday,Afternoon,Home,Normal routine
4/9/2023,Sunday,Afternoon,Home,Lunch
4/9/2023,Sunday,Afternoon,Home,Medicine
4/9/2023,Sunday,Afternoon,Home,Daily Chores
4/9/2023,Sunday,Afternoon,,
4/9/2023,Sunday,Afternoon,,
4/9/2023,Sunday,Afternoon,,
4/9/2023,Sunday,Evening,Grocery Store,Buy Essentials
4/9/2023,Sunday,Evening,Garden,Inspection
4/9/2023,Sunday,Evening,Garden,Fertilizing
4/9/2023,Sunday,Evening,Home,Sleep
4/9/2023,Sunday,Evening,Backyard,Personal Habit
4/9/2023,Sunday,Evening,Home,Daily Chores
4/9/2023,Sunday,Evening,Home,Normal routine
4/9/2023,Sunday,Evening,Paddy Fields,Walking
4/9/2023,Sunday,Evening,Garden,Daily Evening Visit
4/9/2023,Sunday,Evening,Elderly Society,Weekly Assembly
4/9/2023,Sunday,Night,Elderly Society,Weekly Assembly
4/9/2023,Sunday,Night,Home,Normal routine
4/9/2023,Sunday,Night,,
4/9/2023,Sunday,Night,,
4/9/2023,Sunday,Night,Home,Dinner
4/9/2023,Sunday,Night,Home,Medicine
4/9/2023,Sunday,Night,Home,Daily Chores
4/9/2023,Sunday,Night,Home,Sleep
4/10/2023,Monday,Morning,Home,Normal routine
4/10/2023,Monday,Morning,Home ,Daily Chores
4/10/2023,Monday,Morning,Backyard,Personal Habit
4/10/2023,Monday,Morning,Garden,Daily Morning Visit
4/10/2023,Monday,Morning,Home,Breakfast
4/10/2023,Monday,Morning,Home,Medicine
4/10/2023,Monday,Morning,Bakery,Buy Bakery Items
4/10/2023,Monday,Morning,Saloon,Cut hair
4/10/2023,Monday,Morning,Public Bus Stop,Waiting for a bus
4/10/2023,Monday,Afternoon,Public Bus Stop,Waiting for a bus
4/10/2023,Monday,Afternoon,Home,Daily Chores
4/10/2023,Monday,Afternoon,Home,Normal routine
4/10/2023,Monday,Afternoon,Home,Lunch
4/10/2023,Monday,Afternoon,Home,Medicine
4/10/2023,Monday,Afternoon,Home,Daily Chores
4/10/2023,Monday,Afternoon,Rahula College - Matara,Pickup Grandson
4/10/2023,Monday,Afternoon,Cargills Food City - Matara,Buy Essentials
4/10/2023,Monday,Afternoon,Cargills Food City - Matara,Buy Essentials
4/10/2023,Monday,Evening,Cargills Food City - Matara,Buy Essentials
4/10/2023,Monday,Evening,Paddy Fields,Walking
4/10/2023,Monday,Evening,Garden,Inspection
4/10/2023,Monday,Evening,Garden,Fertilizing
4/10/2023,Monday,Evening,Home,Sleep
4/10/2023,Monday,Evening,Backyard,Personal Habit
4/10/2023,Monday,Evening,Home,Daily Chores
4/10/2023,Monday,Evening,Home,Normal routine
4/10/2023,Monday,Evening,Home,Normal routine
4/10/2023,Monday,Evening,Garden,Daily Evening Visit
4/10/2023,Monday,Night,,
4/10/2023,Monday,Night,Home,Dinner
4/10/2023,Monday,Night,Home,Medicine
4/10/2023,Monday,Night,Home,Daily Chores
4/10/2023,Monday,Night,Home,Sleep
4/11/2023,Tuesday,Morning,Home,Normal routine
4/11/2023,Tuesday,Morning,Home ,Daily Chores
4/11/2023,Tuesday,Morning,Backyard,Personal Habit
4/11/2023,Tuesday,Morning,Garden,Daily Morning Visit
4/11/2023,Tuesday,Morning,Home,Breakfast
4/11/2023,Tuesday,Morning,Home,Medicine
4/11/2023,Tuesday,Morning,Fish Shop,Buy Fish to Cook
4/11/2023,Tuesday,Afternoon,Fish Shop,Buy Fish to Cook
4/11/2023,Tuesday,Afternoon,,
4/11/2023,Tuesday,Afternoon,Home,Daily Chores
4/11/2023,Tuesday,Afternoon,Home,Normal routine
4/11/2023,Tuesday,Afternoon,Home,Lunch
4/11/2023,Tuesday,Afternoon,Home,Medicine
4/11/2023,Tuesday,Afternoon,Home,Daily Chores
4/11/2023,Tuesday,Afternoon,Bakery,Buy Bakery Items
4/11/2023,Tuesday,Evening,Garden,Inspection
4/11/2023,Tuesday,Evening,Garden,Fertilizing
4/11/2023,Tuesday,Evening,Home,Sleep
4/11/2023,Tuesday,Evening,Backyard,Personal Habit
4/11/2023,Tuesday,Evening,Home,Daily Chores
4/11/2023,Tuesday,Evening,Home,Normal routine
4/11/2023,Tuesday,Evening,Paddy Fields,Walking
4/11/2023,Tuesday,Evening,Garden,Daily Evening Visit
4/11/2023,Tuesday,Evening,Temple,Religious Rites
4/11/2023,Tuesday,Evening,Temple ,Bodhi Pooja
4/11/2023,Tuesday,Night,Temple ,Bodhi Pooja
4/11/2023,Tuesday,Night,Home,Normal routine
4/11/2023,Tuesday,Night,,
4/11/2023,Tuesday,Night,Home,Dinner
4/11/2023,Tuesday,Night,Home,Medicine
4/11/2023,Tuesday,Night,Home,Daily Chores
4/11/2023,Tuesday,Night,Home,Sleep
4/12/2023,Wednesday,Morning,Home,Normal routine
4/12/2023,Wednesday,Morning,Home ,Daily Chores
4/12/2023,Wednesday,Morning,Backyard,Personal Habit
4/12/2023,Wednesday,Morning,Garden,Daily Morning Visit
4/12/2023,Wednesday,Morning,Home,Breakfast
4/12/2023,Wednesday,Morning,Home,Medicine
4/12/2023,Wednesday,Morning,Home,Visit from Elder Daughter
4/12/2023,Wednesday,Morning,Matara General Hospital,Weekly Diabetes Clinic
4/12/2023,Wednesday,Morning,Matara General Hospital,Weekly Diabetes Tests
4/12/2023,Wednesday,Morning,Matara Public Bus Stand,Waiting for a bus
4/12/2023,Wednesday,Afternoon,Matara Public Bus Stand,Waiting for a bus
4/12/2023,Wednesday,Afternoon,Matara Public Bus Stand,Waiting till bus to start the journey
4/12/2023,Wednesday,Afternoon,Home,Daily Chores
4/12/2023,Wednesday,Afternoon,Home,Normal routine
4/12/2023,Wednesday,Afternoon,Home,Lunch
4/12/2023,Wednesday,Afternoon,Home,Medicine
4/12/2023,Wednesday,Afternoon,Home,Daily Chores
4/12/2023,Wednesday,Afternoon,Bank of Ceylon - Matara,Cash Withdrawal
4/12/2023,Wednesday,Afternoon,Vegetables Shop,Buy Vegetables
4/12/2023,Wednesday,Evening,Vegetables Shop,Buy Vegetables
4/12/2023,Wednesday,Evening,Bakery,Buy Bakery Items
4/12/2023,Wednesday,Evening,Garden,Inspection
4/12/2023,Wednesday,Evening,Garden,Fertilizing
4/12/2023,Wednesday,Evening,Home,Sleep
4/12/2023,Wednesday,Evening,Backyard,Personal Habit
4/12/2023,Wednesday,Evening,Home,Daily Chores
4/12/2023,Wednesday,Evening,Home,Normal routine
4/12/2023,Wednesday,Evening,Home,Normal routine
4/12/2023,Wednesday,Evening,Garden,Daily Evening Visit
4/12/2023,Wednesday,Night,,
4/12/2023,Wednesday,Night,,
4/12/2023,Wednesday,Night,,
4/12/2023,Wednesday,Night,Home,Dinner
4/12/2023,Wednesday,Night,Home,Medicine
4/12/2023,Wednesday,Night,Home,Daily Chores
4/12/2023,Wednesday,Night,Home,Sleep
4/13/2023,Thursday,Morning,Home,Normal routine
4/13/2023,Thursday,Morning,Home ,Daily Chores
4/13/2023,Thursday,Morning,Backyard,Personal Habit
4/13/2023,Thursday,Morning,Garden,Daily Morning Visit
4/13/2023,Thursday,Morning,Home,Breakfast
4/13/2023,Thursday,Morning,Home,Medicine
4/13/2023,Thursday,Morning,,
4/13/2023,Thursday,Morning,Meat Shop,Buy Meat to Cook
4/13/2023,Thursday,Afternoon,Meat Shop,Buy Meat to Cook
4/13/2023,Thursday,Afternoon,,
4/13/2023,Thursday,Afternoon,Home,Daily Chores
4/13/2023,Thursday,Afternoon,Home,Normal routine
4/13/2023,Thursday,Afternoon,Home,Lunch
4/13/2023,Thursday,Afternoon,Home,Medicine
4/13/2023,Thursday,Afternoon,Home,Daily Chores
4/13/2023,Thursday,Afternoon,,
4/13/2023,Thursday,Evening,,
4/13/2023,Thursday,Evening,Garden,Inspection
4/13/2023,Thursday,Evening,Garden,Fertilizing
4/13/2023,Thursday,Evening,Home,Sleep
4/13/2023,Thursday,Evening,Backyard,Personal Habit
4/13/2023,Thursday,Evening,Home,Daily Chores
4/13/2023,Thursday,Evening,Home,Normal routine
4/13/2023,Thursday,Evening,Home,Normal routine
4/13/2023,Thursday,Evening,Garden,Daily Evening Visit
4/13/2023,Thursday,Evening,Bakery,Buy Bakery Items
4/13/2023,Thursday,Night,Bakery,Buy Bakery Items
4/13/2023,Thursday,Night,,
4/13/2023,Thursday,Night,Home,Dinner
4/13/2023,Thursday,Night,Home,Medicine
4/13/2023,Thursday,Night,Home,Daily Chores
4/13/2023,Thursday,Night,Home,Sleep
4/14/2023,Friday,Morning,Home,Normal routine
4/14/2023,Friday,Morning,Home ,Daily Chores
4/14/2023,Friday,Morning,Backyard,Personal Habit
4/14/2023,Friday,Morning,Garden,Daily Morning Visit
4/14/2023,Friday,Morning,Home,Breakfast
4/14/2023,Friday,Morning,Home,Medicine
4/14/2023,Friday,Morning,Temple,Aluth Aurudu Chores
4/14/2023,Friday,Morning,Temple,Religious Rites
4/14/2023,Friday,Morning,Temple,Religious Rites
4/14/2023,Friday,Morning,Grocery Store,Buy essentials
4/14/2023,Friday,Afternoon,Grocery Store,Buy essentials
4/14/2023,Friday,Afternoon,Home,Aluth Aurudu Preparations
4/14/2023,Friday,Afternoon,Home,Daily Chores
4/14/2023,Friday,Afternoon,Home,Normal routine
4/14/2023,Friday,Afternoon,Home,Lunch
4/14/2023,Friday,Afternoon,Home,Medicine
4/14/2023,Friday,Afternoon,Home,Daily Chores
4/14/2023,Friday,Afternoon,Home,Sleep
4/14/2023,Friday,Afternoon,Home,Aluth Aurudu Preparations
4/14/2023,Friday,Afternoon,Home,Helping Family
4/14/2023,Friday,Evening,Backyard,Personal Habit
4/14/2023,Friday,Evening,Home,Aluth Aurudu Preparations
4/14/2023,Friday,Evening,Home,Helping Family
4/14/2023,Friday,Evening,Home,Daily Chores
4/14/2023,Friday,Evening,Home,Normal routine
4/14/2023,Friday,Evening,Home,Normal routine
4/14/2023,Friday,Evening,Garden,Daily Evening Visit
4/14/2023,Friday,Evening,Home,Eating Aluth Aurudu Food
4/14/2023,Friday,Evening,Home,Aluth Aurudu Chores
4/14/2023,Friday,Evening,Neighbour 1 House,Aluth Aurudu Visit
4/14/2023,Friday,Night,Home,Aluth Aurudu Chores
4/14/2023,Friday,Night,Home,Helping Family
4/14/2023,Friday,Night,Neighbour 2 House,Aluth Aurudu Visit
4/14/2023,Friday,Night,Elder Brother's House,Aluth Aurudu Visit
4/14/2023,Friday,Night,Neighbour 3 House,Aluth Aurudu Visit
4/14/2023,Friday,Night,Younger Brother's House,Aluth Aurudu Visit
4/14/2023,Friday,Night,Home,Dinner
4/14/2023,Friday,Night,Home,Medicine
4/14/2023,Friday,Night,Home,Daily Chores
4/14/2023,Friday,Night,Home,Sleep
4/15/2023,Saturday,Morning,Home,Normal routine
4/15/2023,Saturday,Morning,Home ,Daily Chores
4/15/2023,Saturday,Morning,Backyard,Personal Habit
4/15/2023,Saturday,Morning,Garden,Daily Morning Visit
4/15/2023,Saturday,Morning,Home,Breakfast
4/15/2023,Saturday,Morning,Home,Medicine
4/15/2023,Saturday,Morning,Garden,Fertilizing
4/15/2023,Saturday,Morning,Son's House,Aluth Aurudu Visit
4/15/2023,Saturday,Morning,Son's House,Aluth Aurudu Visit
